[Mon, 24 Nov 2008 12:11:54 -0300] | pedidos.php [Linea:221] | Error 8: Undefined variable: nombre
[Mon, 24 Nov 2008 12:11:54 -0300] | pedidos.php [Linea:225] | Error 8: Undefined variable: telefono
[Mon, 24 Nov 2008 12:11:54 -0300] | pedidos.php [Linea:229] | Error 8: Undefined variable: email
[Mon, 24 Nov 2008 12:11:54 -0300] | pedidos.php [Linea:237] | Error 8: Undefined variable: mensaje
[Mon, 24 Nov 2008 12:18:47 -0300] | pedidos.php [Linea:221] | Error 8: Undefined variable: nombre
[Mon, 24 Nov 2008 12:18:47 -0300] | pedidos.php [Linea:225] | Error 8: Undefined variable: telefono
[Mon, 24 Nov 2008 12:18:47 -0300] | pedidos.php [Linea:229] | Error 8: Undefined variable: email
[Mon, 24 Nov 2008 12:19:08 -0300] | pedidos.php [Linea:221] | Error 8: Undefined variable: nombre
[Mon, 24 Nov 2008 12:19:08 -0300] | pedidos.php [Linea:225] | Error 8: Undefined variable: telefono
[Mon, 24 Nov 2008 12:19:08 -0300] | pedidos.php [Linea:229] | Error 8: Undefined variable: email
[Mon, 24 Nov 2008 12:19:51 -0300] | pedidos.php [Linea:221] | Error 8: Undefined variable: nombre
[Mon, 24 Nov 2008 12:19:51 -0300] | pedidos.php [Linea:225] | Error 8: Undefined variable: telefono
[Mon, 24 Nov 2008 12:19:51 -0300] | pedidos.php [Linea:229] | Error 8: Undefined variable: email
[Mon, 24 Nov 2008 12:19:57 -0300] | pedidos.php [Linea:221] | Error 8: Undefined variable: nombre
[Mon, 24 Nov 2008 12:19:57 -0300] | pedidos.php [Linea:225] | Error 8: Undefined variable: telefono
[Mon, 24 Nov 2008 12:19:57 -0300] | pedidos.php [Linea:229] | Error 8: Undefined variable: email
[Mon, 24 Nov 2008 12:29:00 -0300] | pedidos.php [Linea:221] | Error 8: Undefined variable: nombre
[Mon, 24 Nov 2008 12:29:00 -0300] | pedidos.php [Linea:225] | Error 8: Undefined variable: telefono
[Mon, 24 Nov 2008 12:29:00 -0300] | pedidos.php [Linea:229] | Error 8: Undefined variable: email
[Mon, 24 Nov 2008 12:33:32 -0300] | pedidos.php [Linea:221] | Error 8: Undefined variable: nombre
[Mon, 24 Nov 2008 12:33:32 -0300] | pedidos.php [Linea:225] | Error 8: Undefined variable: telefono
[Mon, 24 Nov 2008 12:33:32 -0300] | pedidos.php [Linea:229] | Error 8: Undefined variable: email
[Mon, 24 Nov 2008 13:37:57 -0300] | pedidos.php [Linea:79] | Error 8: Undefined variable: nombre
[Mon, 24 Nov 2008 13:40:09 -0300] | pedidos.php [Linea:79] | Error 8: Undefined variable: nombre
[Mon, 24 Nov 2008 14:10:02 -0300] | pedidos.php [Linea:54] | Error 2: ereg() [<a href='function.ereg'>function.ereg</a>]: REG_BADRPT
[Mon, 24 Nov 2008 14:10:15 -0300] | pedidos.php [Linea:54] | Error 2: ereg() [<a href='function.ereg'>function.ereg</a>]: REG_BADRPT
[Tue, 25 Nov 2008 09:28:24 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:28:24 -0300] | pedidos.php [Linea:94] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:28:24 -0300] | pedidos.php [Linea:95] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:29:36 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:29:36 -0300] | pedidos.php [Linea:94] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:29:36 -0300] | pedidos.php [Linea:95] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:29:55 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:29:55 -0300] | pedidos.php [Linea:94] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:29:55 -0300] | pedidos.php [Linea:95] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:36:53 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:36:53 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:36:53 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:37:18 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:37:18 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:37:18 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:37:46 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:37:46 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:37:46 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:37:59 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:37:59 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:37:59 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:37:59 -0300] | pedidos.php [Linea:102] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:38:04 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:38:04 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:38:04 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:38:04 -0300] | pedidos.php [Linea:102] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:38:07 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:38:07 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:38:07 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:38:07 -0300] | pedidos.php [Linea:102] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:38:14 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:38:14 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:38:14 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:38:22 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:38:22 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:38:22 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:38:22 -0300] | pedidos.php [Linea:102] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:38:26 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:38:26 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:38:26 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:38:26 -0300] | pedidos.php [Linea:102] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:38:36 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:38:36 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:38:36 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:38:36 -0300] | pedidos.php [Linea:102] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:38:42 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
